#mass,luminosity,temperature
#(1.98892e+30 * system.get('S.I.').base('mass')),(((3.839e+26 * (system.get('S.I.').base('length')**2)) * system.get('S.I.').base('mass')) * (system.get('S.I.').base('time')**-3)),system.get('S.I.').base('thermodynamic temperature')
#MSun,LSun,K
0.380247793805,0.0204572182929,3643.07058266
0.243831048864,0.00864319151081,3430.93588556
0.0469200661835,0.00155808359931,3625.12930602
0.0218443944992,0.000207043518298,2188.72512288
0.231061015426,0.00773018090477,3396.47486957
0.208327772442,0.00619338025748,3326.73516941
0.0578009338474,0.00270216601214,4160.10047573
1.15757065052,1.41774020277,6048.29366782
0.0335803665902,0.000644272438169,2906.98774781
0.0960295969105,0.000847376206574,2665.29392658
1.04434446212,0.864175440812,5746.50606535
0.0923578131733,0.000750754125335,2569.08553798
0.195775717813,0.00539860906091,3283.34015136
0.0863416852954,0.000604971638317,2406.92393865
0.05800525497,0.00272745621703,4169.80033686
2.61988755758,49.4489903476,11005.8864106
0.0894670539849,0.000678744110767,2491.89019038
0.649080057653,0.0924022791477,4088.63195639
0.048774527985,0.00172597192978,3719.06907984
0.0453891332752,0.00142743716129,3546.62329969
0.0141510471793,6.58090858468e-05,1643.41511755
0.206019328618,0.00604418852114,3319.02321366
0.079187256381,0.000452377654312,2206.19058961
0.537802966666,0.0468196948017,3814.91262409
0.109320595482,0.00124404153243,2871.17078659
0.152880801681,0.00302187133051,3106.17294847
0.161903149693,0.00347427864693,3147.38181485
0.0398084400066,0.00100957463246,3252.44843985
0.0777139882616,0.00042381698762,2163.72957858
0.0713214022863,0.00470656949587,4779.1639805
0.0134644407628,5.77113421506e-05,1590.34411738
0.0131885693625,5.46419142563e-05,1568.76282581
0.454353736861,0.0297659669929,3707.28247064
0.0577606121765,0.00269719240868,4158.18488407
0.126802961506,0.00187288999598,2973.57076509
0.0633185379178,0.00343752232868,4418.11682195
1.00532398982,0.718037233986,5615.53872854
0.0548405706606,0.00235197769203,4018.22371724
0.0952340048945,0.000825954836561,2644.6179554
0.564506474737,0.0547560047036,3865.22307567
0.478196030997,0.0336986221893,3731.82632708
0.0401193177884,0.0010305222044,3269.18992334
0.394590598293,0.0220068201124,3655.53760826
0.104173106313,0.00108183279421,2838.36317541
0.112842572466,0.00136114475055,2892.85567777
0.0304350235437,0.000496947402335,2724.29052133
0.0215609611176,0.000200026638706,2169.9402342
0.281593169466,0.0115273417167,3514.98556139
0.117958830203,0.00153996271749,2923.35640083
0.0973908861323,0.000884647562949,2700.45834919
0.283499145693,0.0116798153445,3518.58134657
0.332250555561,0.0158143707593,3593.20441315
0.0350146792758,0.000719489421338,2988.35313109
0.175864423934,0.00422595714096,3206.88866964
0.0307659299049,0.000511339016564,2743.80375503
0.311898340414,0.0140307426987,3565.78754135
0.210338148263,0.00632438508668,3333.35432227
1.27010007007,2.19402193198,6308.37707291
0.0197342016561,0.00015833745235,2046.78264739
0.0179177611565,0.000122708060476,1920.41056296
0.0597180148978,0.00294525001963,4250.65987132
0.0553479666394,0.00240986336695,4042.72237484
0.0522680829896,0.00207180348766,3892.80772229
0.71191957681,0.137598734402,4318.86643425
0.0528011957843,0.00212805834624,3918.96780718
0.0575212532052,0.0026677849962,4146.80410315
0.323242485797,0.0150138092533,3581.65157171
0.101416773999,0.000999403760104,2820.2006369
0.349610774705,0.0174131982174,3613.21390706
0.0191805567851,0.000146878288795,2008.70062266
0.114554751212,0.00141984614145,2903.19019977
0.0144996951683,7.01764559833e-05,1670.02768646
0.0187655333511,0.000138636255076,1979.90803334
0.712973020255,0.138514980643,4323.14876914
0.0967080950845,0.000865855724105,2682.85404798
0.345112617819,0.0169913090835,3608.28783658
0.170527172992,0.00393141065239,3184.73387095
0.641846496245,0.0882693544095,4065.56401893
0.0994038018976,0.000941182565843,2751.97294524
0.173823356834,0.00411228818527,3198.50159276
0.190429747515,0.00507276490312,3263.75040905
0.164238380555,0.00359572243968,3157.68895276
0.253029012802,0.00932111898345,3453.78102581
0.0503003410975,0.00187219579412,3795.45310181
0.124383306715,0.00177884740027,2960.12888914
0.0254120917182,0.000308681571867,2418.54119392
0.0830237919844,0.00053136077661,2314.93957686
0.114590776992,0.00142109364936,2903.40624166
0.206469100277,0.00607315213696,3320.53517748
1.15175524155,1.38417418326,6034.79490957
0.169727854775,0.00388805426805,3181.35334098
0.301385863258,0.0131428662867,3549.63847198
0.121867374846,0.00168341428655,2945.92037497
0.192478036207,0.00519668808088,3271.33579035
0.0200405072768,0.000164908486319,2067.69541388
0.0538117317956,0.00223727416588,3968.31021649
0.0776247139188,0.000422118104878,2161.14391987
0.109067660586,0.00123582176815,2869.59049282
0.0162275307995,9.44648973279e-05,1798.84369118
0.0315951519522,0.000548532031807,2792.39152688
0.058562029933,0.00279711661183,4196.17368868
1.73328548814,8.84393794906,8014.7931168
0.0706023270218,0.00458232840168,4747.30752584
0.112501439494,0.00134958715064,2890.78078243
0.0420473561215,0.00116647157372,3372.0526979
0.176228884004,0.00424638694916,3208.3752603
0.059393767263,0.00290321977975,4235.41325733
0.0441793235121,0.00132917551426,3483.94584952
0.126159386144,0.00184766138469,2970.01641173
0.0107022252149,3.14786135961e-05,1366.72051157
0.010981361648,3.36927425022e-05,1390.14436584
0.0465790464595,0.00152836532854,3607.71820078
0.0149402561582,7.59467590022e-05,1703.34697848
0.0260492034954,0.000329534852618,2458.39209956
0.343952694468,0.0168834190774,3606.98986992
0.126752283813,0.00187089775017,2973.2914242
0.074433079587,0.00526824808089,4915.77919924
0.0799428924323,0.000467408953809,2227.81654796
