#mass,x,y,z,vx,vy,vz
#(1.98892e+30 * system.get('S.I.').base('mass')),(3.08567758128e+16 * system.get('S.I.').base('length')),(3.08567758128e+16 * system.get('S.I.').base('length')),(3.08567758128e+16 * system.get('S.I.').base('length')),((1000.0 * system.get('S.I.').base('length')) * (system.get('S.I.').base('time')**-1)),((1000.0 * system.get('S.I.').base('length')) * (system.get('S.I.').base('time')**-1)),((1000.0 * system.get('S.I.').base('length')) * (system.get('S.I.').base('time')**-1))
#MSun,parsec,parsec,parsec,kms,kms,kms
0.0612787973993,-7332.05835493,-3682.97319872,91.6489879297,92.9120981001,-203.567635177,1.56849854608
0.0336917626938,-7385.53054187,-3682.96345985,84.1580035639,90.9577873458,-204.781938237,0.390903268203
0.196976348421,-7346.50766732,-3696.23207847,73.8153776446,92.0307567781,-204.868485603,1.76969559634
0.115000273601,-7368.51684274,-3672.87544476,83.6917063585,91.9386769766,-204.43312512,1.96919908569
0.0245239147859,-7349.48835366,-3690.02354295,86.2349611356,92.1122376426,-203.773269358,1.78638160106
0.229146769089,-7375.42939033,-3672.40628551,85.6019999344,91.054346056,-204.566756603,0.528747390727
0.148447962742,-7324.79304977,-3675.19460925,91.2574059234,93.38543691,-204.174765406,1.76205649054
0.537368508685,-7354.66175722,-3701.38563081,75.575561559,91.319486196,-205.488241016,1.34709895488
0.175712364369,-7367.64395955,-3689.74967012,88.454652931,91.5014254315,-204.621995057,0.0566099266976
0.154441828,-7360.78491368,-3656.54381403,93.0422001191,92.3619107174,-203.713094261,1.81414194984
0.0987682971541,-7380.38301062,-3680.10313262,76.2666552824,91.4839109753,-204.474405992,1.66789041951
0.105923568956,-7345.79146235,-3694.63195312,92.6734377154,92.4084383993,-203.940496468,1.17524748819
1.24947154255,-7342.4437633,-3665.07611572,94.8373061831,93.1098107755,-204.029242197,0.786604224992
0.0313469115006,-7371.10487217,-3676.79942597,75.4385523586,91.4709649438,-204.436608171,2.11415876384
0.100483452598,-7336.50358039,-3687.88467148,89.3139657008,92.8852070215,-203.605592867,1.0676098777
0.21012592003,-7366.41756375,-3674.49335268,93.9669327135,91.9562453442,-203.823206154,2.76403938061
0.0964042608022,-7355.39252267,-3700.29415053,83.8640319548,91.7162242854,-204.295293658,1.15700230563
0.0600213919726,-7370.66095369,-3672.74207947,84.4044383722,91.9285834673,-204.366047013,1.89072164712
0.0609196764266,-7385.06624702,-3677.80462721,77.8047243361,91.1121293683,-204.623569451,1.55593980607
0.0495912669897,-7348.61486131,-3666.62338325,87.8341313109,92.2490322714,-204.220646422,1.44037018454
0.0735734491978,-7349.44824195,-3682.69446224,93.6931028656,92.15926604,-203.929620936,0.387294326729
0.564852988552,-7341.12102307,-3678.10341355,108.631320751,92.4351812083,-203.338328039,1.45318816876
0.121716749723,-7353.30437103,-3685.54431897,87.0214779692,91.8767577491,-204.327244108,0.169800122286
0.0509419415155,-7374.05883925,-3674.8132293,88.8069646614,91.8765679014,-204.41572688,0.961951131774
0.0831540282495,-7365.89320366,-3686.55969228,68.976409727,91.5119575939,-204.313250243,2.07727156374
0.0257042036648,-7382.18948763,-3683.41120478,82.9045985056,91.3139224261,-204.833891932,1.83643168084
0.168987552531,-7363.73929801,-3690.80829491,87.0038665582,91.7390064215,-204.303694642,1.1218500558
0.198843924449,-7356.88120556,-3683.25280106,89.7057454402,92.145910942,-203.870366821,1.10867598942
0.423762137757,-7358.93500149,-3676.50360826,85.8734135931,92.0240736552,-204.121982569,1.77154598835
0.0611849261902,-7360.29369684,-3682.65542555,88.4637205941,91.7016831832,-204.440065479,0.975626100334
2.48495481306,-7364.35518885,-3679.58288537,88.4796317376,91.9379882897,-204.310313144,0.99497394819
0.0983703932387,-7360.77296425,-3688.33537353,78.3376075971,91.5255813214,-204.333794155,1.10713166793
0.062794627201,-7376.53302413,-3690.42127487,82.3977037588,91.2904249911,-204.615380229,1.1341170796
0.0746214238959,-7362.17504737,-3676.43260985,88.9458106247,92.0043675857,-204.270877518,1.13814956328
0.127749691628,-7364.00472379,-3678.32831396,87.4240668037,91.9010491611,-204.40761795,1.1471251073
0.971889761791,-7353.17318385,-3677.06614269,84.8112073928,92.3403475548,-203.982325726,1.80349920327
