#mass,x,y,z,vx,vy,vz
#(1.98892e+30 * system.get('S.I.').base('mass')),(3.08567758128e+16 * system.get('S.I.').base('length')),(3.08567758128e+16 * system.get('S.I.').base('length')),(3.08567758128e+16 * system.get('S.I.').base('length')),((1000.0 * system.get('S.I.').base('length')) * (system.get('S.I.').base('time')**-1)),((1000.0 * system.get('S.I.').base('length')) * (system.get('S.I.').base('time')**-1)),((1000.0 * system.get('S.I.').base('length')) * (system.get('S.I.').base('time')**-1))
#MSun,parsec,parsec,parsec,kms,kms,kms
0.380247793805,-7346.86410059,-3682.96095201,89.5893864483,92.1448034059,-203.994634601,1.45427249311
0.243831048864,-7360.75161316,-3683.33838443,81.4536122947,91.8557358724,-204.289706075,2.00788753958
0.0469200661835,-7348.24698861,-3682.58195164,89.1096686172,92.4593744018,-203.877221516,2.08614701397
0.0218443944992,-7358.08120758,-3691.90288025,87.3561612243,91.9266878305,-204.040312692,1.50812481135
0.231061015426,-7362.03450926,-3702.97294793,78.0534971705,91.6615191939,-204.676850082,1.08129767869
0.208327772442,-7358.36058792,-3694.08021151,87.6262543905,91.6537848628,-204.25724646,1.17172274249
0.0578009338474,-7361.08398935,-3692.99602822,85.0350846931,91.7968745508,-204.145863149,1.59440241473
1.15757065052,-7368.8269622,-3691.69113931,87.1396781587,91.7499062393,-204.269504625,1.01170880017
0.0335803665902,-7351.94811645,-3677.90442146,91.6436810787,92.1667721759,-204.210143891,0.857530315346
0.0960295969105,-7371.97099844,-3690.7252353,86.8570013646,90.654126212,-204.765799248,0.861787706532
1.04434446212,-7349.91462027,-3681.18884251,86.7688592408,92.4205712684,-203.940692813,1.98895803293
0.0923578131733,-7369.23358474,-3692.29427952,85.927315646,91.778207675,-204.297795427,1.33469720428
0.195775717813,-7359.28642692,-3690.20068186,83.3719696959,91.8524419785,-204.20088074,1.85218715621
0.0863416852954,-7377.87744207,-3683.71191759,78.9685828859,91.3254928564,-204.345346233,1.51123760711
0.05800525497,-7359.87044876,-3693.84620157,87.7404248925,91.8036134609,-204.904649397,0.543056946687
2.61988755758,-7354.4249561,-3679.33378758,84.5365086115,91.9972019655,-204.284400686,1.82736284733
0.0894670539849,-7365.59728826,-3694.11281658,84.8439450581,91.781076314,-204.221166409,1.26150889184
0.649080057653,-7373.41521674,-3680.74994949,86.5096066555,91.6375144148,-204.379154544,1.11426289709
0.048774527985,-7355.91459241,-3662.15287747,104.710514622,92.0734592686,-203.551790476,1.53713140684
0.0453891332752,-7356.55905252,-3679.03849022,93.584661205,92.7772735043,-204.001289281,1.40659435076
0.0141510471793,-7352.50447789,-3681.86151643,85.9423705325,92.3085423679,-204.146569975,2.09094470097
0.206019328618,-7367.71048898,-3684.88697624,89.1661737553,91.9408297406,-204.0088805,1.67098360939
0.079187256381,-7356.45505779,-3665.88254587,93.2030383598,92.2834390951,-203.85932011,1.4662253082
0.537802966666,-7362.13607067,-3692.37431354,78.730112503,91.664339612,-204.356404982,1.75004972148
0.109320595482,-7364.00542726,-3676.14991069,85.8274695213,91.9353421161,-204.405395133,1.52090159288
0.152880801681,-7345.51037871,-3667.16723079,93.3615259378,92.1760439736,-204.162625527,0.326127516715
0.161903149693,-7375.90821024,-3680.64894002,98.9506073037,92.3382811283,-203.806304178,1.85396643387
0.0398084400066,-7369.48123601,-3678.98591521,79.135109378,91.9056620824,-204.359887241,2.79982213028
0.0777139882616,-7334.58389868,-3654.11823207,107.088076446,94.3321960509,-203.498516613,0.865790054318
0.0713214022863,-7342.20295078,-3693.21315875,83.3819907434,92.0954987415,-203.967401539,2.32676692098
0.0134644407628,-7337.53856003,-3681.61899261,82.2326917123,92.1158149566,-204.207236207,2.07158890209
0.0131885693625,-7374.0538677,-3701.11177298,80.2036077827,91.5308674586,-204.284820202,2.40359740581
