#mass,x,y,z,vx,vy,vz
#(1.98892e+30 * system.get('S.I.').base('mass')),(3.08567758128e+16 * system.get('S.I.').base('length')),(3.08567758128e+16 * system.get('S.I.').base('length')),(3.08567758128e+16 * system.get('S.I.').base('length')),((1000.0 * system.get('S.I.').base('length')) * (system.get('S.I.').base('time')**-1)),((1000.0 * system.get('S.I.').base('length')) * (system.get('S.I.').base('time')**-1)),((1000.0 * system.get('S.I.').base('length')) * (system.get('S.I.').base('time')**-1))
#MSun,parsec,parsec,parsec,kms,kms,kms
0.0729217565154,-7350.98348252,-3677.75085918,92.4916602701,92.0096426503,-203.962189986,0.988141349139
0.0269961882268,-7351.82764026,-3679.85737529,81.9112024868,91.9633322598,-204.441450213,1.16660125679
0.850581865876,-7361.1706714,-3679.98242635,96.3080138927,92.206039442,-203.506570655,1.47654550011
0.584788911869,-7349.74615074,-3683.20162683,85.6397044514,91.9721583757,-204.242617246,1.27965754039
0.0546277420352,-7360.8638039,-3677.29969244,80.441290898,91.6485176942,-204.372806918,1.65846001014
0.213603694166,-7361.1639934,-3677.99932466,97.0134804406,92.4922800705,-203.817232811,1.22066817343
0.425448280824,-7363.12565696,-3689.37304123,86.1232776045,91.9429335653,-204.033417971,1.68633147979
0.144482646828,-7364.15513924,-3690.19378587,78.4973616513,91.8006905998,-204.507286538,1.88799503679
0.132210867569,-7335.68566381,-3665.10369275,105.393254858,93.4630132722,-203.801489074,1.64210863365
0.0512746792949,-7375.86609055,-3695.7446454,80.7962732641,91.0197059222,-204.52566848,1.69306170312
0.023595527954,-7361.51190633,-3681.80391249,89.6462350478,91.8261111341,-204.487426832,0.635536639906
0.669852061366,-7365.33789492,-3685.14965484,86.916906059,91.7430608833,-204.629456617,0.558297312204
0.686335830395,-7356.83775311,-3687.4774695,91.9391412424,92.1391268706,-204.118755345,0.774373794146
0.192359035695,-7360.96037642,-3672.97578336,88.5207798906,92.3151851275,-203.123427925,1.48961707679
0.0724549837859,-7361.82649898,-3688.50213783,80.4600118124,91.7459433567,-204.431974776,1.96462634786
0.0747971079902,-7362.90626521,-3686.79090917,90.4553922228,91.9401074539,-204.183057132,0.709258124125
0.280364061431,-7371.1657362,-3687.23493932,86.2580614965,91.8159684912,-204.259072564,1.43933470453
0.669324453531,-7357.51101975,-3687.64635313,82.8772481944,91.9138384805,-204.64782598,0.428104924098
0.623194921474,-7367.64741386,-3685.98552845,87.4798289292,91.6407563463,-204.62417983,0.568009553103
0.356427722094,-7367.62185549,-3676.53399378,73.7495713969,91.5625847369,-204.379893872,0.344148215352
0.199098520008,-7360.39710279,-3675.24602728,84.7301142162,91.9376303966,-204.427967757,1.6486521473
0.0221435444971,-7342.75317054,-3680.70270809,88.0110489738,92.4359564937,-203.957233027,1.54180905514
0.0355555827937,-7365.79284256,-3677.83447947,90.8984304572,91.9841914318,-204.285224309,0.846715963144
0.676629774319,-7352.42336591,-3691.27793996,82.7622660355,91.9319138794,-204.297586062,1.51136335583
0.173917196908,-7376.09626867,-3693.45285436,81.5505258691,91.2236133945,-204.531029098,1.73428274194
0.279223523927,-7354.2464798,-3674.57213608,95.044336676,92.6881941249,-204.176867657,3.35895547165
0.15463135774,-7337.16151528,-3670.91851496,87.4717661367,92.2260757832,-204.284004599,1.12436403848
0.21983146213,-7390.74728892,-3703.99704082,67.6146304711,91.273468527,-205.041704927,0.986416431871
0.351816868714,-7347.47406321,-3694.15674324,95.0840112787,92.096321363,-203.907498874,0.276252270843
0.534776429093,-7365.48763726,-3709.90800578,78.4838944254,91.2225621253,-204.726485037,2.35996882762
0.0667646832168,-7361.80089043,-3678.42245722,73.6543570045,91.6746253574,-204.418661129,2.74797427318
0.136077322679,-7377.15902216,-3713.31531922,77.0679641156,91.4311406743,-204.706515616,1.23176167781
0.476492291105,-7353.3005528,-3651.28072911,82.9267184828,92.2611422005,-203.695486279,2.19581508261
3.82123051661,-7354.82868366,-3668.25441437,88.1102801836,92.2118704487,-204.073431779,3.08852288062
0.633710162998,-7344.30553282,-3696.53284173,90.6024244965,91.9740491119,-203.997256356,0.574420923727
0.0799950686269,-7339.18526724,-3653.21523708,83.2158446983,93.3936108374,-203.457237995,2.67701592858
0.0419169166105,-7359.91044754,-3661.08668873,91.9226303921,92.1593800731,-204.518864944,1.06415395944
0.115488187556,-7336.95990355,-3683.13396837,79.4910934616,92.1328078113,-204.184937097,1.91073993772
0.300111678975,-7360.11553564,-3716.29874681,68.6172806827,91.099468574,-205.321641269,2.00941277765
0.116704064493,-7355.22139185,-3707.58277339,80.618091932,91.8051580223,-204.205924616,1.59121850645
0.113157742909,-7385.56624286,-3699.28320033,89.6466218358,91.0607597118,-204.390427573,0.296578991082
0.472014086353,-7372.94794859,-3715.29705005,75.8020621453,91.0191785977,-204.650971861,1.40429612892
0.0776319188569,-7334.15492985,-3657.11519599,95.1805072293,92.9705221145,-203.777018494,0.605396100222
0.527704069156,-7374.97959092,-3678.16370964,80.722143144,91.9645306358,-204.302821273,2.58098086053
0.0889273843736,-7405.08346021,-3690.84716956,80.5297457326,89.7774091972,-205.898273986,0.123083875293
0.0699955150836,-7340.6731749,-3671.78730971,82.8466098855,92.2107116197,-204.273220202,2.1868861399
0.102988671995,-7398.6638145,-3689.73111817,81.361821673,90.8079300014,-204.891708306,0.506931415419
0.329190219145,-7340.49260417,-3706.11237472,81.6824406768,91.8695013165,-204.786634832,0.895082047328
0.0291545502751,-7342.14448905,-3669.80704212,112.285257247,92.3964262496,-203.643993414,0.510284333854
0.042160535138,-7367.03764786,-3667.41330081,83.9281620627,91.9516269896,-204.860514907,1.67110905026
1.19111646887,-7357.07946657,-3673.04001485,77.3150162927,92.0052579854,-204.422216061,2.70388881014
0.0381469224939,-7361.15591823,-3678.43890086,74.3040318248,91.8892634304,-204.412823372,2.78241373036
0.151041599238,-7335.04294399,-3687.6387704,99.4649478143,92.5985188824,-203.805036648,0.46929358789
0.157457431449,-7373.64201517,-3672.11540125,96.8502484409,92.5433212839,-204.008673816,1.54933203359
0.115576402137,-7377.140507,-3676.76916021,96.4021868393,92.0631107932,-204.242106736,0.591316185394
0.20120709717,-7358.96252677,-3700.06908627,82.5582999967,91.8712433194,-203.914962712,2.21442649968
0.0488105727428,-7354.93080368,-3676.12742626,73.1151981407,91.553615438,-205.057601699,1.49909482246
0.143198821607,-7376.42156544,-3704.43104661,63.0538527785,91.3585091145,-205.591629418,2.39762486796
