#mass,luminosity,temperature
#(1.98892e+30 * system.get('S.I.').base('mass')),(((3.839e+26 * (system.get('S.I.').base('length')**2)) * system.get('S.I.').base('mass')) * (system.get('S.I.').base('time')**-3)),system.get('S.I.').base('thermodynamic temperature')
#MSun,LSun,K
0.0729217565154,0.0631922009103,9148.32708038
0.0269961882268,0.00458520907167,4748.05344595
0.850581865876,0.317455463669,4952.95125373
0.584788911869,0.0618623172081,3909.60881637
0.0546277420352,0.02947756877,7560.46885125
0.213603694166,0.00653915376061,3343.91801843
0.425448280824,0.0257022207935,3681.44769422
0.144482646828,0.00262546409112,3065.75815913
0.132210867569,0.00209097474241,3002.86115608
0.0512746792949,0.0249381639967,7250.90027815
0.023595527954,0.00321359458837,4344.33777938
0.669852061366,0.105352436291,4158.65297741
0.686335830395,0.116962277177,4218.56449417
0.192359035695,0.00518937271083,3270.89997625
0.0724549837859,0.0621299347333,9109.63628502
0.0747971079902,0.0675735242982,9302.93433938
0.280364061431,0.0114289669437,3512.64102972
0.669324453531,0.105000407685,4156.79536782
0.623194921474,0.0784568162719,4009.36689379
0.356427722094,0.0180626423289,3620.38284145
0.199098520008,0.0056049231529,3295.1815153
0.0221435444971,0.00271752237799,4165.99836743
0.0355555827937,0.00948674610516,5694.49390662
0.676629774319,0.109980961166,4182.85007255
0.173917196908,0.00411743187956,3198.89123058
0.279223523927,0.011338297044,3510.43911614
0.15463135774,0.00310749812735,3114.34509707
0.21983146213,0.00695601339594,3363.41328458
0.351816868714,0.0176212285385,3615.57805475
0.534776429093,0.0460040688762,3809.76148921
0.0667646832168,0.0500638465041,8630.91553974
0.136077322679,0.00225351723933,3023.19469639
0.476492291105,0.0333933595809,3729.95816294
3.82123051661,202.66704834,14327.1738356
0.633710162998,0.08381510076,4040.32872219
0.0799950686269,0.000468455087211,2229.30445956
0.0419169166105,0.0146496925085,6347.94185972
0.115488187556,0.00145232497908,2908.77021245
0.300111678975,0.0130361728025,3547.58555563
0.116704064493,0.00149515260131,2915.98119122
0.113157742909,0.00137185586487,2894.76859482
0.472014086353,0.0326167582225,3725.10789945
0.0776319188569,0.000422253963702,2161.35122349
0.527704069156,0.0441847782386,3798.17295061
0.0889273843736,0.000665698744269,2477.33010255
0.0699955150836,0.0567160590298,8904.35209753
0.102988671995,0.00104602538827,2830.61255833
0.329190219145,0.0155395675035,3589.38390495
0.0291545502751,0.0056175304662,4995.30686375
0.042160535138,0.0148755428822,6372.26780159
1.19111646887,1.61354451482,6121.87067718
0.0381469224939,0.0114228317465,5965.12100747
0.151041599238,0.00293296210038,3097.49672903
0.157457431449,0.00324795017738,3127.35639535
0.115576402137,0.00145541280428,2909.29552393
0.20120709717,0.00573741221305,3302.56203471
0.0488105727428,0.0218976438122,7018.99866752
0.143198821607,0.00256702853071,3059.39740198
0.0801618124303,0.000471810743503,2234.06122116
0.215033224466,0.00663403205576,3348.46749912
0.0318427171384,0.00709034545937,5294.71590057
0.152751649922,0.00301556173001,3105.56801468
0.0400073478889,0.0129529788081,6155.56932694
0.0590343332085,0.0361773698539,7957.65415733
0.0465653432302,0.0193377746895,6804.20574206
0.0395420655821,0.0125590668157,6108.22682453
0.443511277771,0.0281594977198,3697.2253249
0.0605613783188,0.0387005790767,8092.91872682
0.872271881713,0.358726574391,5055.77555848
1.71928326079,8.41694892362,7968.82369776
0.152961305765,0.00302575690052,3106.55188687
0.0321612471987,0.00727913024679,5329.61313579
0.0807260723751,0.000483259454905,2250.12124126
0.387453268997,0.0212227736958,3649.42094661
0.509617882841,0.0399276284421,3771.10296493
0.517409926138,0.0416951497388,3782.32750423
0.0246051782908,0.00358947294731,4466.15184189
0.0232069665741,0.00307576532134,4296.98771618
0.0556305702723,0.0309277519139,7651.78751418
0.575534980737,0.0584868191262,3888.64865529
0.0296612932275,0.0058789869843,5052.44317661
0.27330583684,0.0108716072847,3498.67332998
0.0249250802523,0.00371399413759,4504.39135853
0.185185439264,0.00476074643969,3243.87463812
0.0763874451801,0.000398947232413,2125.15716698
0.371710962514,0.0195746746897,3635.29784656
0.0495982975628,0.0228429902169,7093.55681634
0.196930134402,0.00546989524515,3287.48464116
0.0500059133012,0.0233419471463,7131.97945586
0.266051605564,0.0103081319272,3483.44727945
0.571722617557,0.0571593274559,3880.35215774
0.0292940129094,0.00568875060392,5011.06500773
0.548255594347,0.0497367929055,3833.51014037
0.165848865424,0.00368045160966,3164.71472417
0.029347895379,0.00571641646852,5017.14645417
0.0947783429828,0.000813803464261,2632.73165053
0.0354135528796,0.00938702902567,5679.47056861
0.251607690245,0.00921503329585,3450.35961497
0.323935347081,0.0150740364024,3582.57836708
0.0256985170918,0.00402603892209,4596.16176365
0.12209005467,0.00169175257244,2947.18848466
0.420113501138,0.0250218010178,3676.94200299
0.965592017052,0.588693770141,5465.02541123
0.125154207467,0.00180855717274,2964.43563526
1.1696448526,1.48084527385,6073.23838827
0.134984932307,0.00220704111317,3017.49958296
0.0855966765759,0.000588016573485,2386.43019039
0.496443916621,0.0371500758748,3753.53616989
0.116863615218,0.00150081532278,2916.92275501
0.109080401368,0.00123622875293,2869.6707799
0.115838615322,0.00146460915335,2910.85499809
0.49287129195,0.0364394803606,3749.05977549
0.457407903553,0.0302341566589,3710.24161007
0.088044062625,0.000644623777831,2453.40051227
0.0896774453204,0.000683860825459,2497.55078868
0.356770942974,0.0180957578409,3620.73428811
0.34255648463,0.0167531534556,3605.41954851
0.0484598352025,0.0214846846897,6985.66989281
0.82976464071,0.281624772674,4853.31943702
